file,tag,step,value,wall_time
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,140,0.385162353515625,1788150583.6507661
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,150,0.5669708251953125,1788150680.0666947
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,160,0.75628662109375,1788150781.7830095
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,170,0.37667083740234375,1788150892.8222153
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,180,0.8040847778320312,1788150975.0989673
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,190,0.481781005859375,1788151052.98519
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,200,0.3953094482421875,1788151137.4030473
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,210,0.7787017822265625,1788151229.0734599
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,220,0.8892059326171875,1788151323.4880557
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,230,0.6372222900390625,1788151427.5916424
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,240,0.7485198974609375,1788151527.0747805
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,250,0.47315216064453125,1788151611.4746118
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,260,0.8032455444335938,1788151684.8243134
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,270,0.581268310546875,1788151780.1579037
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,280,0.36067962646484375,1788151878.7062597
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,290,0.5387039184570312,1788151965.457135
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,300,0.6202468872070312,1788152044.4987202
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,310,0.1747589111328125,1788152141.2961524
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,320,0.8433761596679688,1788152233.9168568
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,330,0.5594100952148438,1788152340.9124177
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,340,0.5695037841796875,1788152434.699602
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,350,0.44510650634765625,1788152531.869056
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,360,0.6316680908203125,1788152617.2729015
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,370,0.301025390625,1788152709.0024436
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,380,0.6690292358398438,1788152807.9734273
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,390,0.47695159912109375,1788152886.0934954
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,400,0.45877838134765625,1788153004.0425313
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,410,0.7589569091796875,1788153096.6862826
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,420,0.45046234130859375,1788153200.2694988
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,430,0.39379119873046875,1788153279.6534562
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,440,0.5895538330078125,1788153358.7862535
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,450,0.57354736328125,1788153452.8964787
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,460,0.6289520263671875,1788153546.5958972
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,470,0.47475433349609375,1788153635.5184999
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,480,0.3506317138671875,1788153721.5904891
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,490,0.669097900390625,1788153812.6312125
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,500,0.6286544799804688,1788153910.6147335
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,510,0.5724868774414062,1788154000.3606865
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,520,0.30759429931640625,1788154091.827195
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,530,0.2378082275390625,1788154197.028818
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,540,0.4318389892578125,1788154293.8760655
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,550,0.4586181640625,1788154391.9016883
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,560,0.4203948974609375,1788154471.7957237
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,570,0.81658935546875,1788154559.8202314
